"name","st_x","st_y","limit"
DEL MAR 1104,-121.20835,38.78857,2170
DEL MAR 2105,-121.22897,38.79918,2539
DEL MAR 2106,-121.19089,38.78159001,1701
DEL MAR 2109,-121.21938,38.81306002,3556
DEL MAR 2110,-121.21941,38.80984996,2400
SUMMIT 1101,-120.3388,39.31581001,352
SUMMIT 1102,-120.3303199,39.31431996,136
HIGGINS 1103,-121.0637901,39.08986001,1225
HIGGINS 1104,-121.01141,39.10659002,1570
HIGGINS 1107,-121.04319,39.01623996,409
HIGGINS 1109,-121.09122,39.03927001,1032
HIGGINS 1110,-121.01226,39.03039004,1861
BELL 1107,-121.0883699,38.94367001,1754
BELL 1108,-121.06506,38.98849004,2033
BELL 1109,-121.04842,38.95685995,1000
BELL 1110,-121.08436,38.93004001,2024
EL DORADO P H 2101,-120.1108301,38.80249002,1084
EL DORADO P H 2102,-120.5644999,38.74703003,598
WHEATLAND 1101,-121.37182,39.04967002,-1
WHEATLAND 1102,-121.41875,39.01276,1075
WHEATLAND 1104,-121.30713,38.98848003,649
WHEATLAND 1105,-121.28057,39.07824002,798
OLIVEHURST 1103,-121.43302,39.09385996,1585
OLIVEHURST 1105,-121.43147,39.07191001,568
BROWNS VALLEY 1101,-121.3515,39.21126001,380
PLACERVILLE 1109,-120.78,38.73208,-1
PLACERVILLE 1110,-120.79037,38.73034997,899
PLACERVILLE 1111,-120.78746,38.73039997,1371
PLACERVILLE 1112,-120.74496,38.71515003,1371
PLACERVILLE 2106,-120.66104,38.91128,1414
NARROWS 2101,-121.26877,39.23463004,276
NARROWS 2102,-121.09182,39.23954,1719
NARROWS 2104,-121.26898,39.23566996,-1
NARROWS 2105,-121.1014501,39.22904004,1849
CLARKSVILLE 2103,-120.93579,38.55456999,1939
CLARKSVILLE 2104,-120.99677,38.68756004,2772
CLARKSVILLE 2105,-121.00931,38.66237997,2886
CLARKSVILLE 2106,-121.04756,38.68067996,2862
CLARKSVILLE 2109,-121.0507699,38.65795002,2468
CLARKSVILLE 2110,-121.06846,38.65451997,3698
SHINGLE SPRINGS 1103,-120.9498,38.65797996,1503
SHINGLE SPRINGS 1104,-120.95053,38.61540002,1045
SHINGLE SPRINGS 2105,-120.94774,38.66226999,2356
SHINGLE SPRINGS 2108,-120.9633101,38.66098999,2437
SHINGLE SPRINGS 2109,-120.87136,38.79423996,2273
SHINGLE SPRINGS 2110,-120.88296,38.65424998,1660
APPLE HILL 1103,-120.67683,38.73922001,1125
APPLE HILL 1104,-120.606,38.75337997,665
APPLE HILL 2102,-120.55043,38.63365003,2249
LINCOLN 1101,-121.20933,38.88633996,2161
LINCOLN 1102,-121.30487,38.88544,1541
LINCOLN 1104,-121.22922,38.91228003,0
LINCOLN 1105,-121.3075,38.88974003,2314
LINCOLN 2108,-121.28284,38.98946,-1
PLUMAS 1101,-121.4635801,39.01788998,196
PLUMAS 2106,-121.46805,38.98040001,1191
DOBBINS 1101,-121.12994,39.40440999,282
LIVE OAK 1101,-121.59684,39.27233,629
SMARTVILLE 1101,-121.29102,39.18912996,151
DOWNIEVILLE DIESEL 1101,-120.8213399,39.56999998,-1
SIERRA CITY GENERATION 1101,-120.62848,39.56847999,-1
ECHO SUMMIT 1101,-120.03031,38.81037999,342
WASHINGTON CITY GEN. 1101,-120.79241,39.36413003,-1
TIGER CREEK 0201,-120.47447,38.45444003,0
LINDEN 1104,-120.98946,37.99931,536
ELECTRA 1101,-120.61957,38.37405002,1520
ELECTRA 1102,-120.52035,38.35414999,1153
CALAVERAS CEMENT 1101,-120.48749,38.23694996,2341
STANISLAUS 1701,-120.36967,38.13936003,681
STANISLAUS 1702,-120.29895,38.25217998,1262
SPRING GAP 1701,-119.94997,38.18843998,528
VALLEY HOME 1702,-120.82182,37.83584999,5
VALLEY HOME 1703,-120.72792,37.85067004,-1
CORRAL 1101,-120.86739,38.15097997,2081
CORRAL 1102,-120.8302999,38.16073001,1069
CORRAL 1103,-120.83254,38.01809001,932
CORRAL 1104,-120.92619,38.10129996,-1
MARTELL 1101,-120.6703399,38.45379001,1471
MARTELL 1102,-120.76772,38.35373001,1049
