"RPT_YR","TPA","NO_TREE","FOR_TYP","Shap_Ar","CONBM_kgha","THA","QMDC_DOM","CONPL","Av_BA_TR","CONBA_kg_pol","Cent.x","Cent.y","est.tot.trees","est.tot.BM"
"2013","1","38","7101","152963.508805276","8949.34159595376","56.1722606936416","32.52645","PIAL","1682.68979895199","383653.274161054","-1968343.06235968","1775004.84137187",859.230609322409,136892.269201409
"2013","1","3","7101","11045.5676131439","60347.1917076923","223.571446153846","25.63496","PICO","393.420135767264","5901.30203650897","-1966843.66630716","1772362.39976245",246.947352486066,66656.898627067
"2013","3","23","3015","31422.1821065341","101322.33415641","464.893117948718","38.1671176470588","PIJE","687.330997135921","268746.419880145","-1964697.73423272","1769548.05946295",1460.7956212259,318376.883532182
"2013","3","77","3015","103701.548877135","54215.4418855932","254.942066949153","38.6610785714286","PIAL","1095.49979876413","1180948.78306773","-1963791.87923056","1768607.60508108",2643.78872165653,562222.52965943
"2013","3","94","3015","126285.925735602","90424.2597692308","343.168716783217","39.1400323529412","PIJE","837.08459664183","2675322.37086729","-1964443.22243215","1768936.18160457",4333.73790824673,1141931.13539139
"2013","1","270","2108","1093138.77874236","217614.635919983","494.791377952106","48.3681096385542","PICO","1373.06748316153","30770442.2976498","-1980418.03503413","1785102.34019874",54087.5642626814,23788299.7346034
"2013","2","198","3020","401484.856732984","350623.156580984","708.673792170022","47.745806","ABPRSH","1439.93468324849","14255353.36416","-1991475.4360084","1789770.06531754",28452.1795919802,14076988.7787183
"2013","1","64","3020","259224.538482013","198101.46908","440.454638965517","39.4988465116279","PICO","1044.87907186878","2875507.20578289","-1993031.75906625","1797639.09739732",11417.6650508098,5135276.18948717
"2013","1","278","2108","1126384.95914262","149702.081692948","466.544524801902","44.0676852272727","PICO","911.431846348664","22297268.6890737","-1993384.05306729","1800153.63745658",52550.8735507204,16862217.3171276
"2013","2","1372","3020","2777147.42274965","244223.205566158","835.20014302401","44.8141672727273","PICO","1088.21889934653","164233996.289379","-1992409.13630681","1801840.91173598",231947.392467927,67824384.5913716
"2013","1","59","7101","238616.278400269","167435.683777358","848.244156981132","35.4084666666667","PICO","659.17119673026","350019.905463768","-1991758.36723672","1803741.18865687",20240.4863913612,3995287.97343577
"2013","1","41","7101","167917.268712867","71242.6630164021","593.050542857143","30.50709375","PICO","507.133506373629","332679.5801811","-1989992.45905929","1829867.62246149",9958.34273652545,1196287.33895454
"2013","1","105","7101","423804.17296425","13217.7957832272","250.720959447983","19.3902517241379","PIMO","298.059374430226","907590.795140039","-1952544.36826582","1809044.06126515",10625.6588863656,560175.701032095
"2013","1","47","7101","188528.383817876","20496.9250596244","158.900847887324","19.90785","PIMO","323.705667697949","304283.327636072","-1951699.24359163","1807536.77958595",2995.73200394873,386425.215472711
"2013","2","84","7101","170787.26908745","4765.42300320856","51.0403807486631","16.760475","N/A","393.873039959913","397024.024279593","-1952662.39519058","1805177.60866025",871.704724124784,81387.3580764505
"2013","3","63","3015","85383.3327592752","11317.2810913043","41.913197826087","32.8224","PIMO","948.717279078505","956307.017311133","-1953486.76105137","1773864.08404273",357.868851699011,96630.7177349092
"2013","2","162","3015","327051.526125851","68420.0609405556","702.592050555556","27.8309842105263","PICO","630.710369536827","1941326.51743435","-1960185.68638473","1779392.86532969",22978.3802378086,2237688.53482324
"2013","2","31","7101","63336.5587224238","0","0","0","N/A","0","0","-1962171.08843821","1771132.80300214",0,0
"2013","2","6","7101","11786.7948523508","15406.9679642857","771.6713","14.3866","PIFL2","128.486850490882","2312.76330883588","-1982712.47120427","1837533.15458123",909.553130654686,18159.8770691777
"2013","2","55","7101","111176.422123803","16611.4061740157","250.15948976378","24.9845052631579","PIAL","419.149206392923","438010.920680605","-1982148.5273222","1837397.68932224",2781.18370322531,184679.670487232
"2013","2","69","7101","139179.252109444","6544.21999363057","256.254307006369","20.4010230769231","PIAL","349.062448686851","313109.016472106","-1981681.31012372","1837483.47052107",3566.52827989704,91081.9644353175
"2013","3","46","7101","61582.9037737026","24275.8861514706","236.203701470588","26.6376818181818","PIAL","452.623832165439","229027.659075712","-1983415.72288044","1841633.97099126",1454.61098186556,149497.956088737
"2013","7","488","7101","281889.315300725","11551.0122375","154.41966875","14.4853444444444","PIAL","123.163698708255","540934.964726656","-1968186.77606713","1839830.40118625",4352.92546929023,325610.693065917
"2013","2","344","7101","695262.180841148","36928.5570104247","667.013444144144","19.4760785714286","PIAL","170.632056753023","821763.985322558","-1969112.23704729","1840180.38963229",46374.9221826023,2567502.90823845
"2013","5","641","2108","518951.550638178","9419.33435043328","137.905256845754","24.5576055555556","PIAL","306.329161993551","3534425.87108159","-1973288.74141034","1841263.46654064",7156.61468812602,488817.816713681
"2013","3","295","7101","398589.925614428","6484.33290945946","132.328061486486","30.0832733333333","PICO","594.222362150605","2629433.95251643","-1973982.24589766","1840810.38963757",5274.46321846001,258458.977204063
"2013","3","274","7101","369887.508400702","372.345657384988","1.24843801452785","21.5712","N/A","556.024306171969","609402.639564478","-1974262.41203574","1839601.55244339",46.1781626586424,13772.6007473955
"2013","8","8205","2108","4150784.80439538","61847.1107876468","708.81078323184","30.6242647887324","PICO","494.598152658605","288130626.822034","-1972701.18583529","1842142.19197946",294212.102823031,25671404.7653122
